SNe Name,UVW2,UVM2,UVW1,U,V,B
SN2005CS,0.4474406353575611,0.6064434474180715,0.4048378245902628,0.2180726975155651,0.0164695785034725,0.0632395760506481
SN2006at,0.1361802486971141,0.1668387505827932,0.1917128710395301,0.1448046172917691,0.0129556676614667,0.0418253672337973
ASASSN-13co,0.2184078677998842,0.2746981497610845,0.1842471837427307,0.1216898597249903,0.0168319083533841,0.0482602926616141
ASASSN-14ha,0.2281899766954038,0.2404935626818745,0.1823763770872103,0.0853886730511745,0.0105569768947406,0.0268737032115268
PTF11qax,0.2263690716629072,0.1518425720584532,0.0993276550522233,0.0220990881349508,-0.5821721702619006,-0.1015770032816961
SN2006bc,0.2109231273534709,0.1767367263101721,0.1492740885310571,0.1044801375196472,0.0094645144920345,0.0418150198597147
SN2007od,0.1884274245144497,0.1949102343211006,0.1484485950078163,0.1055550779518579,0.0175704877477721,0.03375475511382
SN2008aw,0.2579382162018722,0.2667156278671249,0.1920641317138346,0.1025951099812094,0.0254625488364801,0.0440943524102698
SN2008ij,0.1975977516781304,0.2620071781750197,0.1713318348704942,0.1114704345421302,0.0099013976627973,0.0387603466925876
SN2008M,0.199768989358272,0.1796394987573862,0.1602500595291468,0.1383617900789144,0.0190506833984557,0.0528240957144664
SN2009at,0.1794486645951673,0.1766751925533979,0.1384577985734628,0.0635238945524008,0.0285704713377,0.0326784781746273
SN2009dd,,,0.3703220333450587,0.1357361766376243,0.0158706827761893,0.0304740972372625
SN2010F,0.2351830051375115,0.2991706995804905,0.165538874820496,0.097783465137746,0.0059523565466982,0.0265280814406387
SN2012A,0.316806604409759,0.3744626610730871,0.265068507574994,0.1155087566291063,-0.0055943523763853,0.019561550342039
SN2013ak,0.1114386524363119,0.151269744022706,0.1284733362123745,0.1479187401674091,0.0826512942587591,0.1121484788991852
SN2013am,0.1985525409482453,0.3551929329471491,0.1692085915009441,0.1406453367622064,0.0070681242088454,0.0438170332879275
SN2013ej,0.2241673769589978,0.2828833205211387,0.1934479410823347,0.1241393789539884,0.0230514714910236,0.0463098109332651
SN2014cx,0.2328661342985941,0.2571453011789669,0.1543677020066845,0.0876325488621146,0.0003254607261326,0.0305358962101468
SN2015as,-0.0889694647596111,-0.0165777073759472,-0.089210480453732,-0.1588611237203648,-0.1013344511070395,-0.1276160565661528
SN2016aqf,0.350995416519371,0.3842021210088312,0.2475849852702258,0.1037480037083399,-0.0023127744880899,0.0241737059621985
SN2016B,0.2403791047431287,0.2323523089740345,0.2088542171173223,0.0991264859640818,0.0126703721529346,0.0253826731513058
SN2016blz,0.2256107167608564,0.2058310123754681,0.1556249075555416,0.1152634030296326,0.0323249231725279,0.0528434836869819
SN2016cqj,0.2356180098645066,0.2499883678442241,0.2057903252451355,0.0887326432616481,0.0801367062880621,0.0458134247068552
SN2016gfy,0.1957240050846116,0.2244447149620547,0.1414274059974695,0.0884390360950404,0.0069949065977962,0.0393459193621845
SN2017eaw,0.1947846886012179,0.2506847604784673,0.1451533988719837,0.1196852950077636,0.0074922667329322,0.0373553573816453
SN2018is,0.2251809677381054,0.2585641052913638,0.1885713059326734,0.0804414213555354,0.0217582297502623,0.0310419273025582
SN2018ivc,0.0205507603781097,0.0656048530153451,0.064059785595994,0.0370194675165919,0.0285164975876619,0.0251785641110937
SN2013by,0.1707374846629562,0.2202545786827328,0.1094249532601444,0.0928957811083267,0.0264546869293097,0.0417163104091729
SN2013fs,0.2290939247763442,0.2394533444605686,0.1793678517655453,0.1019320758523483,0.0330789355115614,0.045871917747903
SN2009kr,0.2566231864447844,0.2875820120934761,0.1752555749191323,0.1185567236017491,0.0274786211388354,0.0513736655790781
PS15cwo,0.1992567348207209,0.2446627173205542,0.1614815269526234,0.099125030893634,0.0217493650379854,0.0454634289404855
SN2006bp,0.2513654169763755,0.2802405553638409,0.1822520029784668,0.1407416490077352,0.0083763428059778,0.0358747462021227
SN2008in,0.3227378135764417,0.2590003620191693,0.2020500551633647,0.1365165675669243,0.0098106515718216,0.0312858506147971
SN2009N,0.5078664887054701,0.4661600675461982,0.284976932413666,0.1667872258767972,0.0029275761653201,0.0272522731308259
SN2013ab,0.2489224120053849,0.2727442692003441,0.1656400608602498,0.1152577421768553,0.0099810330297385,0.0248181512079822
SN2016C,0.3445405208007592,0.4223759802826053,0.2732915867391534,0.1746517334079194,0.0426831508808177,0.0592858350581946
SN2016cok,0.1664577501983774,0.375680571674453,0.2203198733199256,0.1373975184195327,-0.005307570894465,0.0334353467885116
SN2016X,0.2223202228176675,0.2406994365592165,0.1696730214470918,0.1116693756807644,0.0214700406190333,0.0421273820583545
